"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev","min0t50","avg15t50"
8,0.07,0.05,2,1.7,1.20057951939423e-321,3.80646312011e-63,2.18408889045e-21
8,0.07,0.05,2,1.8,5.58294179800609e-322,2.26493206052e-65,6.76591070779e-22
8,0.07,0.05,2,1.9,1.20552017585264e-321,2.5477341719e-67,2.35639238811e-22
8,0.07,0.05,2,2,1.90709339294721e-321,4.79661223064e-69,9.06674588319e-23
8,0.07,0.05,2,2.1,2.13930424649260e-321,1.36648069042e-70,3.79646507361e-23
8,0.07,0.05,2,2.2,2.05037243024117e-321,5.53007271607e-72,1.71205946935e-23
8,0.07,0.05,2,2.3,1.31915527439613e-321,3.00051690863e-73,8.23393517351e-24
8,0.07,0.05,2,2.4,2.03060980440752e-321,2.08786508725e-74,4.18938878513e-24
8,0.07,0.05,2,2.5,2.03555046086594e-321,1.79957734681e-75,2.24015574605e-24
8,0.07,0.05,2,2.6,1.60571334898405e-321,1.86968563224e-76,1.25212315501e-24
8,0.07,0.05,2,2.7,1.6254759748177e-321,2.28777775542e-77,7.27950292534e-25
8,0.07,0.05,2,2.8,1.64029794419294e-321,3.233994528e-78,4.38432745125e-25
8,0.07,0.05,2,2.9,1.99602520919864e-321,5.20307571018e-79,2.7262245211e-25
8,0.07,0.05,2,3,2.05037243024117e-321,9.39999544461e-80,1.7447944744e-25
9,0.07,0.05,2,0,0.00408490483986,0.0040849048398,0.00408536746214
9,0.07,0.05,2,0.1,0.00329226828332,0.00269204860829,0.00328979456329
9,0.07,0.05,2,0.2,0.00259619483362,0.00157309241228,0.00259357208438
9,0.07,0.05,2,0.3,0.00199576345158,0.000764184300183,0.00202335302177
9,0.07,0.05,2,0.4,0.00148300484467,0.000275532549834,0.00148675897647
9,0.07,0.05,2,0.5,0.00104546195094,6.00282441871e-05,0.00103192326025
9,0.07,0.05,2,0.6,0.000669625722246,5.79478178788e-06,0.000873663401962
9,0.07,0.05,2,0.7,0.000343504110667,1.84973723512e-07,0.000533454854568
9,0.07,0.05,2,0.8,5.78044744811e-05,1.62901160609e-09,0.0002475275542
9,0.07,0.05,2,0.9,2.38207467327e-135,3.04185511897e-12,3.92474646495e-09
9,0.07,0.05,2,1,2.80453298806e-280,1.29019509617e-20,1.00920513886e-14
9,0.07,0.05,2,1.1,2.23317671920243e-321,4.26370143675e-30,2.65061318528e-16
9,0.07,0.05,2,1.2,6.22522713759971e-322,1.2784878565e-37,1.33518104904e-17
9,0.07,0.05,2,1.3,4.74303020007597e-322,1.12940578435e-43,1.06506501785e-18
9,0.07,0.05,2,1.4,1.10176639022598e-321,1.28211151822e-48,1.21160218557e-19
9,0.07,0.05,2,1.5,1.83298354607102e-321,1.01408034468e-52,1.82760619596e-20
9,0.07,0.05,2,1.6,1.31421461793772e-321,3.56027813985e-56,3.46537835295e-21
9,0.07,0.05,2,1.7,1.56124744085834e-321,3.9740136461e-59,7.9297114789e-22
9,0.07,0.05,2,1.8,3.75489890839347e-322,1.09975142246e-61,2.1214101674e-22
9,0.07,0.05,2,1.9,1.43773102939803e-321,6.28394321436e-64,6.47526184479e-23
9,0.07,0.05,2,2,2.33198984837068e-321,6.45743785538e-66,2.21136797787e-23
9,0.07,0.05,2,2.1,2.41104035170528e-321,1.06918482925e-67,8.30876921125e-24
9,0.07,0.05,2,2.2,2.60372595358337e-321,2.63235960304e-69,3.39114771158e-24
9,0.07,0.05,2,2.3,1.59583203606723e-321,9.08241671153e-71,1.48848766055e-24
9,0.07,0.05,2,2.4,2.56914135837448e-321,4.16710699037e-72,6.96049734105e-25
9,0.07,0.05,2,2.5,2.48020954212306e-321,2.44273442652e-73,3.44202921182e-25
9,0.07,0.05,2,2.6,1.89227142357197e-321,1.77718296638e-74,1.78933006247e-25
9,0.07,0.05,2,2.7,1.93673733169769e-321,1.55909386158e-75,9.72256462493e-26
9,0.07,0.05,2,2.8,1.92685601878086e-321,1.61470115972e-76,5.49659032328e-26
9,0.07,0.05,2,2.9,2.37151510003798e-321,1.94081946256e-77,3.22114098096e-26
9,0.07,0.05,2,3,2.49503151149830e-321,2.66553500122e-78,1.94984807989e-26
10,0.07,0.05,2,0,0.00422717591909,0.00422717591908,0.00422769835486
10,0.07,0.05,2,0.1,0.00345369137561,0.00286813167771,0.00345540462504
10,0.07,0.05,2,0.2,0.00276708037236,0.00174586693711,0.00276031905471
10,0.07,0.05,2,0.3,0.00216978627571,0.000902141008723,0.00218482616044
10,0.07,0.05,2,0.4,0.00165749985006,0.000358676097044,0.00167807415618
10,0.07,0.05,2,0.5,0.00122067233427,9.22190446761e-05,0.00119393145472
10,0.07,0.05,2,0.6,0.000847498053148,1.16822456783e-05,0.000975596908264
10,0.07,0.05,2,0.7,0.000526636848473,5.58117664545e-07,0.000663612540226
10,0.07,0.05,2,0.8,0.00024877568291,8.9925027761e-09,0.000334011973681
10,0.07,0.05,2,0.9,2.78500044774e-06,4.79130564863e-11,0.000199876237447
10,0.07,0.05,2,1,1.85175142644e-145,7.35441724028e-14,1.78435841809e-11
10,0.07,0.05,2,1.1,1.6293735761e-267,1.4831656329e-21,6.50698111121e-16
10,0.07,0.05,2,1.2,9.23902757723131e-322,5.85854137437e-30,2.20777963086e-17
10,0.07,0.05,2,1.3,7.16395186469807e-322,9.69366322023e-37,1.30393349035e-18
10,0.07,0.05,2,1.4,2.40609969524687e-321,2.71186748894e-42,1.15504607234e-19
10,0.07,0.05,2,1.5,2.33693050482910e-321,6.55254095082e-47,1.40588892925e-20
10,0.07,0.05,2,1.6,1.66994188294341e-321,8.32199915481e-51,2.21072949779e-21
10,0.07,0.05,2,1.7,2.82111483775352e-321,3.84311916706e-54,4.28824136467e-22
10,0.07,0.05,2,1.8,5.38531553966959e-322,4.89970138724e-57,9.89884087166e-23
10,0.07,0.05,2,1.9,1.80828026377896e-321,1.40676657169e-59,2.64679260154e-23
10,0.07,0.05,2,2,2.41598100816370e-321,7.79249266636e-62,8.01700083242e-24
10,0.07,0.05,2,2.1,3.34482442234524e-321,7.37962796647e-64,2.70032254131e-24
10,0.07,0.05,2,2.2,3.14225750755033e-321,1.09369797319e-65,9.97495783998e-25
10,0.07,0.05,2,2.3,3.20154538505128e-321,2.36729905016e-67,3.99435819761e-25
10,0.07,0.05,2,2.4,3.10767291234144e-321,7.06112451388e-69,1.71589784993e-25
10,0.07,0.05,2,2.5,2.91004665400494e-321,2.78012737013e-70,7.84472874369e-26
10,0.07,0.05,2,2.6,2.42092166462211e-321,1.39460076004e-71,3.79056914861e-26
10,0.07,0.05,2,2.7,2.43574363399735e-321,8.65083854251e-73,1.92399972038e-26
10,0.07,0.05,2,2.8,2.39621838233005e-321,6.47573328339e-74,1.02059394393e-26
10,0.07,0.05,2,2.9,2.94957190567224e-321,5.73761950898e-75,5.63407067772e-27
10,0.07,0.05,2,3,2.99897847025637e-321,5.91284730207e-76,3.22457272901e-27
11,0.07,0.05,2,0,0.00435934916846,0.00435934916845,0.00435992958828
11,0.07,0.05,2,0.1,0.00360480098124,0.00303590483423,0.00360815352485
11,0.07,0.05,2,0.2,0.00292816639318,0.00191776316095,0.00292437812733
11,0.07,0.05,2,0.3,0.00233439505606,0.00104646509602,0.0023350358084
