"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev","lambdaIoutReinfF","lambdaIoutReinf0t5F","lambdaIoutReinf5t15F","lambdaIoutReinf15p","lambdaIoutF","lambdaIout0t5F","lambdaIout5t15F","lambdaIout15p"
12,0.07,0.05,2,0.2,0.00308119517061,0.000329958690056,1.16590232193e-06,3.06640004619e-05,0.000298128787272,0.00169839443493,0.000924719023197,0.000389153912136,0.000384521499594
12,0.07,0.05,2,0.3,0.0024915348003,0.000306820870279,9.85597722365e-07,2.6533822981e-05,0.000279301449576,0.00132091563353,0.000664641205076,0.00028365356232,0.000372620866136
12,0.07,0.05,2,0.4,0.00197974420998,0.000278366813404,8.09714453514e-07,2.23029815851e-05,0.000255254117366,0.00100872811669,0.000466204332554,0.000195644415402,0.000346879368735
12,0.07,0.05,2,0.5,0.00154165412016,0.000244916370918,6.45011796181e-07,1.81379380351e-05,0.000226133421087,0.000755194991745,0.000319348839763,0.000127990442842,0.00030785570914
12,0.07,0.05,2,0.6,0.00116921094456,0.000207276085695,4.95595308801e-07,1.41864900638e-05,0.000192594000322,0.000551351821484,0.000212986152981,7.95777120508e-05,0.000258787956453
12,0.07,0.05,2,0.7,0.00085295145003,0.000166559028324,3.63253859917e-07,1.05541496235e-05,0.00015564162484,0.000387957022461,0.000136960186921,4.68968945531e-05,0.000204099940986
12,0.07,0.05,2,0.8,0.000583989668548,0.000124034292595,2.48209972241e-07,7.30133993361e-06,0.000116484742689,0.000256840298569,8.30186097302e-05,2.58141864319e-05,0.000148007502407
12,0.07,0.05,2,0.9,0.000354978798785,8.10353212919e-05,1.49794826079e-07,4.45219807915e-06,7.64333283867e-05,0.00015138753623,4.49305557153e-05,1.26707189895e-05,9.37862615249e-05
12,0.07,0.05,2,1,0.000160068409708,3.88482257965e-05,6.68114174518e-08,2.00336877036e-06,3.67780456087e-05,6.639940838e-05,1.81570319712e-05,4.67125574545e-06,4.35711206633e-05
12,0.07,0.05,2,1.1,3.48967968749e-13,8.90743487027e-14,1.43837347939e-16,4.34469882173e-15,8.4585812533e-14,1.41260714983e-13,3.58348487402e-14,8.49205701884e-15,9.69338092241e-14
12,0.07,0.05,2,1.2,2.86769974128e-110,7.4265165268e-111,1.19581317402e-113,3.5983601106e-112,7.054722384e-111,1.13700250737e-110,2.94932509935e-111,6.13131043539e-112,7.80756893083e-111
12,0.07,0.05,2,1.3,4.73253832324e-197,1.23947359019e-197,1.98570212275e-200,5.96387022306e-199,1.17784918584e-197,1.84528429615e-197,4.85616436229e-198,9.04306237052e-199,1.26923723622e-197
12,0.07,0.05,2,1.4,9.48570049692e-267,2.50642286838e-267,3.98764866438e-270,1.1973926974e-268,2.38269594998e-267,3.64890272984e-267,9.67693768425e-268,1.64836806733e-268,2.51637215468e-267
